timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:39:20.653, 30.68 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:21.665, 32.10 W, 78, 34 %, 1500 MHz
2026/06/17 12:39:22.676, 30.95 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:23.691, 31.65 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:24.703, 32.69 W, 77, 36 %, 1500 MHz
2026/06/17 12:39:25.717, 29.96 W, 78, 27 %, 1500 MHz
2026/06/17 12:39:26.731, 32.41 W, 78, 37 %, 1500 MHz
2026/06/17 12:39:27.745, 32.74 W, 77, 37 %, 1500 MHz
2026/06/17 12:39:28.756, 22.21 W, 78, 37 %, 1500 MHz
2026/06/17 12:39:29.772, 31.70 W, 78, 34 %, 1500 MHz
2026/06/17 12:39:30.786, 30.51 W, 77, 30 %, 1500 MHz
2026/06/17 12:39:31.799, 30.43 W, 77, 26 %, 1500 MHz
2026/06/17 12:39:32.812, 30.35 W, 78, 34 %, 1500 MHz
2026/06/17 12:39:33.829, 28.64 W, 77, 29 %, 1500 MHz
2026/06/17 12:39:34.841, 30.73 W, 78, 32 %, 1500 MHz
2026/06/17 12:39:35.854, 29.91 W, 77, 31 %, 1500 MHz
2026/06/17 12:39:36.866, 28.85 W, 77, 30 %, 1500 MHz
2026/06/17 12:39:37.884, 29.85 W, 78, 31 %, 1500 MHz
2026/06/17 12:39:38.901, 29.37 W, 77, 30 %, 1500 MHz
2026/06/17 12:39:39.911, 29.52 W, 78, 29 %, 1500 MHz
2026/06/17 12:39:40.922, 30.33 W, 77, 31 %, 1500 MHz
2026/06/17 12:39:41.936, 29.49 W, 78, 25 %, 1500 MHz
2026/06/17 12:39:42.955, 30.34 W, 78, 31 %, 1500 MHz
2026/06/17 12:39:43.966, 30.77 W, 78, 33 %, 1500 MHz
2026/06/17 12:39:44.980, 33.47 W, 78, 38 %, 1500 MHz
2026/06/17 12:39:45.994, 33.15 W, 78, 37 %, 1500 MHz
2026/06/17 12:39:47.007, 31.78 W, 78, 36 %, 1500 MHz
2026/06/17 12:39:48.018, 30.88 W, 78, 34 %, 1500 MHz
2026/06/17 12:39:49.033, 30.70 W, 78, 32 %, 1500 MHz
2026/06/17 12:39:50.045, 30.82 W, 78, 25 %, 1500 MHz
2026/06/17 12:39:51.060, 32.17 W, 78, 36 %, 1500 MHz
2026/06/17 12:39:52.077, 31.83 W, 78, 34 %, 1500 MHz
2026/06/17 12:39:53.095, 31.55 W, 78, 36 %, 1500 MHz
2026/06/17 12:39:54.109, 31.40 W, 78, 30 %, 1500 MHz
2026/06/17 12:39:55.127, 32.62 W, 78, 37 %, 1500 MHz
2026/06/17 12:39:56.142, 33.24 W, 79, 37 %, 1500 MHz
2026/06/17 12:39:57.156, 33.07 W, 78, 37 %, 1500 MHz
2026/06/17 12:39:58.166, 29.82 W, 78, 32 %, 1500 MHz
2026/06/17 12:39:59.177, 27.66 W, 78, 29 %, 1500 MHz
2026/06/17 12:40:00.190, 30.72 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:01.204, 32.23 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:02.213, 31.48 W, 78, 28 %, 1500 MHz
2026/06/17 12:40:03.221, 31.95 W, 79, 39 %, 1500 MHz
2026/06/17 12:40:04.238, 33.40 W, 78, 38 %, 1500 MHz
2026/06/17 12:40:05.252, 31.28 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:06.266, 31.43 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:07.276, 31.49 W, 78, 35 %, 1500 MHz
2026/06/17 12:40:08.290, 31.09 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:09.292, 31.80 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:10.308, 33.65 W, 78, 36 %, 1552 MHz
2026/06/17 12:40:11.326, 33.63 W, 78, 35 %, 1500 MHz
2026/06/17 12:40:12.331, 32.05 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:13.346, 26.83 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:14.364, 30.99 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:15.374, 31.19 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:16.390, 32.30 W, 78, 28 %, 1500 MHz
2026/06/17 12:40:17.401, 30.09 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:18.418, 29.53 W, 78, 30 %, 1500 MHz
2026/06/17 12:40:19.431, 29.98 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:20.443, 29.09 W, 78, 29 %, 1500 MHz
2026/06/17 12:40:21.458, 28.52 W, 78, 33 %, 1500 MHz
