timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/22 13:56:47.377, 29.81 W, 80, 30 %, 1500 MHz
2026/06/22 13:56:48.392, 30.56 W, 80, 33 %, 1500 MHz
2026/06/22 13:56:49.409, 30.42 W, 80, 33 %, 1500 MHz
2026/06/22 13:56:50.422, 30.41 W, 80, 34 %, 1500 MHz
2026/06/22 13:56:51.434, 31.73 W, 80, 34 %, 1500 MHz
2026/06/22 13:56:52.446, 31.03 W, 80, 33 %, 1500 MHz
2026/06/22 13:56:53.457, 32.40 W, 81, 37 %, 1500 MHz
2026/06/22 13:56:54.466, 32.82 W, 80, 38 %, 1500 MHz
2026/06/22 13:56:55.480, 31.03 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:56.492, 32.23 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:57.507, 32.13 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:58.514, 31.23 W, 80, 32 %, 1500 MHz
2026/06/22 13:56:59.528, 31.13 W, 80, 34 %, 1500 MHz
2026/06/22 13:57:00.541, 32.04 W, 80, 35 %, 1500 MHz
2026/06/22 13:57:01.550, 32.11 W, 80, 35 %, 1500 MHz
2026/06/22 13:57:02.561, 40.26 W, 83, 51 %, 1905 MHz
2026/06/22 13:57:03.574, 39.39 W, 82, 20 %, 1912 MHz
2026/06/22 13:57:04.586, 40.11 W, 81, 20 %, 1500 MHz
2026/06/22 13:57:05.598, 26.76 W, 80, 17 %, 1500 MHz
2026/06/22 13:57:06.605, 42.08 W, 83, 35 %, 1845 MHz
2026/06/22 13:57:07.618, 46.32 W, 83, 32 %, 1845 MHz
2026/06/22 13:57:08.629, 41.40 W, 81, 30 %, 1545 MHz
2026/06/22 13:57:09.641, 32.46 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:10.655, 32.62 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:11.668, 29.12 W, 81, 32 %, 1500 MHz
2026/06/22 13:57:12.679, 32.87 W, 81, 31 %, 1500 MHz
2026/06/22 13:57:13.694, 31.90 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:14.705, 30.97 W, 80, 33 %, 1500 MHz
2026/06/22 13:57:15.717, 30.68 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:16.729, 32.22 W, 81, 34 %, 1500 MHz
2026/06/22 13:57:17.741, 26.56 W, 81, 29 %, 1500 MHz
2026/06/22 13:57:18.753, 32.80 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:19.765, 32.45 W, 81, 36 %, 1500 MHz
2026/06/22 13:57:20.778, 32.56 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:21.789, 34.17 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:22.801, 33.89 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:23.813, 32.56 W, 81, 34 %, 1500 MHz
2026/06/22 13:57:24.828, 33.42 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:25.839, 33.88 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:26.851, 33.73 W, 81, 39 %, 1500 MHz
2026/06/22 13:57:27.863, 33.28 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:28.877, 34.28 W, 81, 39 %, 1507 MHz
2026/06/22 13:57:29.888, 34.10 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:30.903, 33.04 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:31.913, 33.55 W, 82, 38 %, 1500 MHz
2026/06/22 13:57:32.927, 33.71 W, 81, 38 %, 1500 MHz
2026/06/22 13:57:33.939, 31.93 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:34.953, 32.90 W, 81, 37 %, 1500 MHz
2026/06/22 13:57:35.971, 32.81 W, 81, 36 %, 1500 MHz
2026/06/22 13:57:36.983, 31.05 W, 81, 26 %, 1500 MHz
2026/06/22 13:57:37.998, 34.17 W, 81, 39 %, 1500 MHz
2026/06/22 13:57:39.010, 34.22 W, 81, 36 %, 1500 MHz
2026/06/22 13:57:40.022, 31.45 W, 81, 36 %, 1507 MHz
2026/06/22 13:57:41.036, 33.83 W, 81, 37 %, 1500 MHz
2026/06/22 13:57:42.045, 33.49 W, 81, 36 %, 1500 MHz
2026/06/22 13:57:43.056, 32.30 W, 81, 32 %, 1500 MHz
2026/06/22 13:57:44.071, 32.91 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:45.085, 33.90 W, 82, 36 %, 1500 MHz
2026/06/22 13:57:46.100, 34.64 W, 81, 35 %, 1552 MHz
2026/06/22 13:57:47.113, 31.79 W, 81, 31 %, 1552 MHz
2026/06/22 13:57:48.130, 31.87 W, 81, 32 %, 1500 MHz
2026/06/22 13:57:49.137, 30.78 W, 81, 29 %, 1500 MHz
2026/06/22 13:57:50.150, 27.30 W, 81, 32 %, 1500 MHz
2026/06/22 13:57:51.160, 31.30 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:52.179, 31.10 W, 81, 31 %, 1500 MHz
2026/06/22 13:57:53.192, 30.89 W, 81, 24 %, 1500 MHz
2026/06/22 13:57:54.200, 30.89 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:55.205, 31.67 W, 81, 33 %, 1500 MHz
2026/06/22 13:57:56.216, 30.74 W, 81, 30 %, 1500 MHz
2026/06/22 13:57:57.225, 30.93 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:58.245, 30.85 W, 81, 35 %, 1500 MHz
2026/06/22 13:57:59.263, 30.48 W, 81, 29 %, 1500 MHz
2026/06/22 13:58:00.278, 29.98 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:01.287, 30.97 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:02.299, 28.59 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:03.308, 30.63 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:04.319, 31.40 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:05.332, 31.53 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:06.341, 30.41 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:07.358, 31.47 W, 81, 34 %, 1500 MHz
2026/06/22 13:58:08.370, 30.87 W, 81, 34 %, 1500 MHz
2026/06/22 13:58:09.384, 30.16 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:10.402, 32.50 W, 81, 36 %, 1500 MHz
2026/06/22 13:58:11.413, 32.60 W, 81, 37 %, 1500 MHz
2026/06/22 13:58:12.423, 33.48 W, 82, 39 %, 1500 MHz
2026/06/22 13:58:13.437, 32.11 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:14.451, 32.17 W, 81, 34 %, 1500 MHz
