timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:55:06.238, 30.16 W, 70, 39 %, 1500 MHz
2026/06/18 15:55:07.252, 29.68 W, 70, 32 %, 1500 MHz
2026/06/18 15:55:08.264, 28.76 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:09.280, 29.83 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:10.289, 28.72 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:11.299, 27.63 W, 70, 33 %, 1500 MHz
2026/06/18 15:55:12.313, 28.28 W, 70, 31 %, 1500 MHz
2026/06/18 15:55:13.326, 28.49 W, 70, 25 %, 1500 MHz
2026/06/18 15:55:14.340, 28.39 W, 70, 31 %, 1500 MHz
2026/06/18 15:55:15.355, 30.88 W, 70, 35 %, 1545 MHz
2026/06/18 15:55:16.367, 30.32 W, 70, 30 %, 1545 MHz
2026/06/18 15:55:17.384, 29.60 W, 70, 33 %, 1500 MHz
2026/06/18 15:55:18.399, 29.33 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:19.414, 28.72 W, 70, 38 %, 1500 MHz
2026/06/18 15:55:20.419, 28.62 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:21.434, 29.64 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:22.449, 28.06 W, 70, 32 %, 1500 MHz
2026/06/18 15:55:23.461, 29.43 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:24.472, 30.07 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:25.487, 29.23 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:26.505, 29.41 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:27.513, 29.53 W, 70, 32 %, 1500 MHz
2026/06/18 15:55:28.532, 28.97 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:29.548, 30.37 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:30.562, 30.86 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:31.573, 29.75 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:32.588, 30.51 W, 71, 36 %, 1500 MHz
2026/06/18 15:55:33.600, 30.28 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:34.614, 29.59 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:35.629, 29.51 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:36.651, 29.56 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:37.661, 29.04 W, 71, 35 %, 1500 MHz
2026/06/18 15:55:38.670, 29.26 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:39.684, 29.49 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:40.695, 29.39 W, 71, 35 %, 1500 MHz
2026/06/18 15:55:41.709, 29.98 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:42.728, 29.16 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:43.741, 28.75 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:44.756, 29.41 W, 71, 35 %, 1500 MHz
2026/06/18 15:55:45.768, 29.07 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:46.783, 29.35 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:47.800, 29.38 W, 71, 34 %, 1500 MHz
2026/06/18 15:55:48.810, 28.77 W, 71, 26 %, 1500 MHz
2026/06/18 15:55:49.823, 29.47 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:50.836, 29.32 W, 71, 34 %, 1500 MHz
2026/06/18 15:55:51.848, 29.11 W, 71, 34 %, 1500 MHz
2026/06/18 15:55:52.863, 30.04 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:53.879, 30.17 W, 71, 36 %, 1500 MHz
2026/06/18 15:55:54.893, 29.33 W, 70, 37 %, 1500 MHz
2026/06/18 15:55:55.911, 30.34 W, 71, 37 %, 1500 MHz
2026/06/18 15:55:56.926, 29.72 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:57.939, 29.41 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:58.950, 29.96 W, 71, 37 %, 1500 MHz
2026/06/18 15:55:59.953, 29.28 W, 71, 35 %, 1500 MHz
2026/06/18 15:56:00.968, 29.85 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:01.985, 30.72 W, 71, 39 %, 1500 MHz
2026/06/18 15:56:03.002, 29.48 W, 70, 28 %, 1500 MHz
2026/06/18 15:56:04.019, 30.25 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:05.030, 30.36 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:06.042, 29.77 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:07.058, 30.71 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:08.065, 30.58 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:09.078, 29.31 W, 71, 35 %, 1500 MHz
2026/06/18 15:56:10.094, 30.20 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:11.110, 30.74 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:12.119, 29.51 W, 71, 35 %, 1500 MHz
2026/06/18 15:56:13.137, 29.95 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:14.148, 30.35 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:15.160, 29.38 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:16.174, 30.54 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:17.190, 30.18 W, 71, 34 %, 1500 MHz
2026/06/18 15:56:18.201, 28.78 W, 71, 33 %, 1500 MHz
2026/06/18 15:56:19.218, 30.82 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:20.237, 30.65 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:21.251, 29.69 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:22.264, 30.49 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:23.279, 30.22 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:24.291, 29.27 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:25.297, 30.40 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:26.313, 30.10 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:27.324, 29.97 W, 71, 39 %, 1500 MHz
2026/06/18 15:56:28.341, 30.91 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:29.358, 31.05 W, 71, 39 %, 1500 MHz
2026/06/18 15:56:30.365, 29.87 W, 71, 33 %, 1500 MHz
2026/06/18 15:56:31.370, 31.11 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:32.387, 30.27 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:33.404, 30.94 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:34.415, 30.72 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:35.429, 29.69 W, 71, 26 %, 1500 MHz
2026/06/18 15:56:36.432, 29.42 W, 71, 32 %, 1500 MHz
2026/06/18 15:56:37.449, 29.48 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:38.461, 28.58 W, 71, 27 %, 1500 MHz
2026/06/18 15:56:39.472, 30.14 W, 71, 35 %, 1500 MHz
